Id,Class
3147,Sydney
3148,Perth
3149,Brisbane
3150,Sydney
3151,Sydney
3152,Sydney
3153,Perth
3154,Sydney
3155,Sydney
3156,Sydney
3157,Sydney
3158,Melbourne
3159,Sydney
3160,Brisbane
3161,Sydney
3162,Sydney
3163,Sydney
3164,Brisbane
3165,Perth
3166,Brisbane
3167,Brisbane
3168,Perth
3169,Sydney
3170,Melbourne
3171,Sydney
3172,Brisbane
3173,Sydney
3174,Sydney
3175,Perth
3176,Brisbane
3177,Sydney
3178,Sydney
3179,Sydney
3180,Sydney
3181,Brisbane
3182,Melbourne
3183,Sydney
3184,Melbourne
3185,Brisbane
3186,Melbourne
3187,Melbourne
3188,Brisbane
3189,Sydney
3190,Sydney
3191,Perth
3192,Sydney
3193,Sydney
3194,Melbourne
3195,Sydney
3196,Sydney
3197,Brisbane
3198,Perth
3199,Sydney
3200,Sydney
3201,Sydney
3202,Sydney
3203,Sydney
3204,Melbourne
3205,Sydney
3206,Brisbane
3207,Sydney
3208,Melbourne
3209,Sydney
3210,Sydney
3211,Melbourne
3212,Perth
3213,Melbourne
3214,Sydney
3215,Brisbane
3216,Melbourne
3217,Sydney
3218,Sydney
3219,Sydney
3220,Melbourne
3221,Melbourne
3222,Sydney
3223,Sydney
3224,Melbourne
3225,Sydney
3226,Melbourne
3227,Sydney
3228,Melbourne
3229,Sydney
3230,Sydney
3231,Sydney
3232,Sydney
3233,Sydney
3234,Sydney
3235,Sydney
3236,Sydney
3237,Brisbane
3238,Sydney
3239,Sydney
3240,Sydney
3241,Sydney
3242,Brisbane
3243,Sydney
3244,Sydney
3245,Melbourne
3246,Sydney
3247,Brisbane
3248,Perth
3249,Melbourne
3250,Sydney
3251,Sydney
3252,Brisbane
3253,Sydney
3254,Sydney
3255,Sydney
3256,Sydney
3257,Brisbane
3258,Sydney
3259,Brisbane
3260,Brisbane
3261,Sydney
3262,Sydney
3263,Melbourne
3264,Sydney
3265,Sydney
3266,Sydney
3267,Brisbane
3268,Melbourne
3269,Melbourne
3270,Sydney
3271,Melbourne
3272,Melbourne
3273,Sydney
3274,Brisbane
3275,Melbourne
3276,Sydney
3277,Sydney
3278,Melbourne
3279,Perth
3280,Sydney
3281,Perth
3282,Sydney
3283,Sydney
3284,Perth
3285,Sydney
3286,Melbourne
3287,Brisbane
3288,Sydney
3289,Sydney
3290,Melbourne
3291,Sydney
3292,Sydney
3293,Brisbane
3294,Sydney
3295,Sydney
3296,Brisbane
3297,Sydney
3298,Sydney
3299,Sydney
3300,Sydney
3301,Sydney
3302,Melbourne
3303,Sydney
3304,Perth
3305,Sydney
3306,Brisbane
3307,Melbourne
3308,Sydney
3309,Brisbane
3310,Brisbane
3311,Perth
3312,Melbourne
3313,Sydney
3314,Sydney
3315,Sydney
3316,Sydney
3317,Sydney
3318,Sydney
3319,Sydney
3320,Brisbane
3321,Sydney
3322,Brisbane
3323,Sydney
3324,Sydney
3325,Sydney
3326,Brisbane
3327,Brisbane
3328,Brisbane
3329,Melbourne
3330,Sydney
3331,Brisbane
3332,Sydney
3333,Sydney
3334,Sydney
3335,Brisbane
3336,Melbourne
3337,Sydney
3338,Perth
3339,Perth
3340,Melbourne
3341,Sydney
3342,Sydney
3343,Sydney
3344,Perth
3345,Melbourne
3346,Melbourne
3347,Sydney
3348,Perth
3349,Sydney
3350,Sydney
3351,Sydney
3352,Sydney
3353,Sydney
3354,Sydney
3355,Sydney
3356,Brisbane
3357,Brisbane
3358,Sydney
3359,Sydney
3360,Sydney
3361,Brisbane
3362,Sydney
3363,Sydney
3364,Sydney
3365,Sydney
3366,Sydney
3367,Melbourne
3368,Sydney
3369,Perth
3370,Perth
3371,Melbourne
3372,Sydney
3373,Sydney
3374,Perth
3375,Brisbane
3376,Melbourne
3377,Brisbane
3378,Sydney
3379,Brisbane
3380,Brisbane
3381,Sydney
3382,Melbourne
3383,Brisbane
3384,Sydney
3385,Sydney
3386,Brisbane
3387,Sydney
3388,Sydney
3389,Sydney
3390,Brisbane
3391,Sydney
3392,Sydney
3393,Sydney
3394,Perth
3395,Sydney
3396,Sydney
3397,Brisbane
3398,Perth
3399,Brisbane
3400,Sydney
3401,Melbourne
3402,Perth
3403,Sydney
3404,Sydney
3405,Sydney
3406,Sydney
3407,Sydney
3408,Melbourne
3409,Brisbane
3410,Sydney
3411,Sydney
3412,Perth
3413,Melbourne
3414,Sydney
3415,Brisbane
3416,Brisbane
3417,Brisbane
3418,Sydney
3419,Brisbane
3420,Perth
3421,Perth
3422,Sydney
3423,Sydney
3424,Sydney
3425,Melbourne
3426,Sydney
3427,Melbourne
3428,Sydney
3429,Sydney
3430,Sydney
3431,Sydney
3432,Sydney
3433,Sydney
3434,Sydney
3435,Sydney
3436,Melbourne
3437,Sydney
3438,Melbourne
3439,Brisbane
3440,Melbourne
3441,Sydney
3442,Sydney
3443,Melbourne
3444,Sydney
3445,Perth
3446,Brisbane
3447,Melbourne
3448,Sydney
3449,Sydney
3450,Sydney
3451,Sydney
3452,Perth
3453,Sydney
3454,Sydney
3455,Perth
3456,Brisbane
3457,Sydney
3458,Sydney
3459,Sydney
3460,Brisbane
3461,Sydney
3462,Perth
3463,Sydney
3464,Perth
3465,Sydney
3466,Brisbane
3467,Sydney
3468,Sydney
3469,Brisbane
3470,Melbourne
3471,Sydney
3472,Sydney
3473,Sydney
3474,Sydney
3475,Brisbane
3476,Melbourne
3477,Melbourne
3478,Sydney
3479,Sydney
3480,Perth
3481,Melbourne
3482,Sydney
3483,Melbourne
3484,Sydney
3485,Melbourne
3486,Sydney
3487,Sydney
3488,Brisbane
3489,Melbourne
3490,Sydney
3491,Sydney
3492,Brisbane
3493,Sydney
3494,Brisbane
3495,Sydney
3496,Perth
3497,Sydney
3498,Sydney
3499,Sydney
3500,Brisbane
3501,Sydney
3502,Sydney
3503,Sydney
3504,Sydney
3505,Sydney
3506,Sydney
3507,Sydney
3508,Sydney
3509,Sydney
3510,Sydney
3511,Brisbane
3512,Sydney
3513,Melbourne
3514,Melbourne
3515,Perth
3516,Brisbane
3517,Melbourne
3518,Sydney
3519,Perth
3520,Sydney
3521,Sydney
3522,Sydney
3523,Sydney
3524,Sydney
3525,Sydney
3526,Brisbane
3527,Sydney
3528,Sydney
3529,Sydney
3530,Sydney
3531,Brisbane
3532,Sydney
3533,Sydney
3534,Sydney
3535,Sydney
3536,Brisbane
3537,Brisbane
3538,Perth
3539,Sydney
3540,Sydney
3541,Sydney
3542,Sydney
3543,Sydney
3544,Melbourne
3545,Sydney
3546,Perth
3547,Brisbane
3548,Melbourne
3549,Sydney
3550,Sydney
3551,Sydney
3552,Melbourne
3553,Sydney
3554,Brisbane
3555,Sydney
3556,Sydney
3557,Sydney
3558,Sydney
3559,Brisbane
3560,Brisbane
3561,Sydney
3562,Melbourne
3563,Brisbane
3564,Sydney
3565,Brisbane
3566,Sydney
3567,Sydney
3568,Melbourne
3569,Sydney
3570,Perth
3571,Sydney
3572,Melbourne
3573,Brisbane
3574,Melbourne
3575,Melbourne
3576,Melbourne
3577,Sydney
3578,Brisbane
3579,Sydney
3580,Brisbane
3581,Perth
3582,Sydney
3583,Sydney
3584,Perth
3585,Brisbane
3586,Sydney
3587,Sydney
3588,Sydney
3589,Melbourne
3590,Sydney
3591,Brisbane
3592,Sydney
3593,Sydney
3594,Sydney
3595,Brisbane
3596,Sydney
3597,Sydney
3598,Brisbane
3599,Brisbane
3600,Brisbane
3601,Perth
3602,Brisbane
3603,Brisbane
3604,Brisbane
3605,Melbourne
3606,Brisbane
3607,Sydney
3608,Brisbane
3609,Sydney
3610,Melbourne
3611,Melbourne
3612,Sydney
3613,Perth
3614,Sydney
3615,Sydney
3616,Perth
3617,Perth
3618,Sydney
3619,Sydney
3620,Melbourne
3621,Sydney
3622,Perth
3623,Sydney
3624,Sydney
3625,Brisbane
3626,Sydney
3627,Sydney
3628,Sydney
3629,Melbourne
3630,Sydney
3631,Brisbane
3632,Sydney
3633,Brisbane
3634,Sydney
3635,Sydney
3636,Melbourne
3637,Sydney
3638,Sydney
3639,Sydney
3640,Perth
3641,Brisbane
3642,Sydney
3643,Brisbane
3644,Brisbane
3645,Sydney
3646,Brisbane
3647,Brisbane
3648,Sydney
3649,Sydney
3650,Perth
3651,Sydney
3652,Sydney
3653,Sydney
3654,Sydney
3655,Sydney
3656,Sydney
3657,Sydney
3658,Sydney
3659,Brisbane
3660,Brisbane
3661,Sydney
3662,Sydney
3663,Melbourne
3664,Sydney
3665,Sydney
3666,Sydney
3667,Sydney
3668,Sydney
3669,Brisbane
3670,Perth
3671,Perth
3672,Sydney
3673,Melbourne
3674,Sydney
3675,Sydney
3676,Sydney
3677,Sydney
3678,Brisbane
3679,Sydney
3680,Brisbane
3681,Perth
3682,Brisbane
3683,Sydney
3684,Perth
3685,Brisbane
3686,Sydney
3687,Melbourne
3688,Sydney
3689,Perth
3690,Sydney
3691,Brisbane
3692,Sydney
3693,Sydney
3694,Melbourne
3695,Sydney
3696,Perth
3697,Brisbane
3698,Sydney
3699,Sydney
3700,Brisbane
3701,Sydney
3702,Brisbane
3703,Brisbane
3704,Sydney
3705,Melbourne
3706,Brisbane
3707,Sydney
3708,Sydney
3709,Sydney
3710,Sydney
3711,Brisbane
3712,Sydney
3713,Brisbane
3714,Brisbane
3715,Sydney
3716,Sydney
3717,Brisbane
3718,Perth
3719,Sydney
3720,Brisbane
3721,Melbourne
3722,Melbourne
3723,Brisbane
3724,Brisbane
3725,Sydney
3726,Perth
3727,Sydney
3728,Sydney
3729,Sydney
3730,Sydney
3731,Sydney
3732,Brisbane
3733,Brisbane
3734,Sydney
3735,Sydney
3736,Sydney
3737,Brisbane
3738,Sydney
3739,Brisbane
3740,Sydney
3741,Sydney
3742,Sydney
3743,Sydney
3744,Melbourne
3745,Sydney
3746,Sydney
3747,Sydney
3748,Melbourne
3749,Sydney
3750,Melbourne
3751,Perth
3752,Melbourne
3753,Sydney
3754,Brisbane
3755,Sydney
3756,Brisbane
3757,Perth
3758,Sydney
3759,Sydney
3760,Sydney
3761,Sydney
3762,Sydney
3763,Sydney
3764,Sydney
3765,Brisbane
3766,Sydney
3767,Sydney
3768,Sydney
3769,Sydney
3770,Sydney
3771,Sydney
3772,Brisbane
3773,Brisbane
3774,Sydney
3775,Sydney
3776,Sydney
3777,Melbourne
3778,Sydney
3779,Sydney
3780,Sydney
3781,Sydney
3782,Sydney
3783,Sydney
3784,Sydney
3785,Sydney
3786,Sydney
3787,Perth
3788,Sydney
3789,Sydney
3790,Sydney
3791,Brisbane
3792,Sydney
3793,Brisbane
3794,Brisbane
3795,Sydney
3796,Sydney
3797,Brisbane
3798,Melbourne
3799,Brisbane
3800,Brisbane
3801,Brisbane
3802,Sydney
3803,Sydney
3804,Sydney
3805,Brisbane
3806,Brisbane
3807,Melbourne
3808,Sydney
3809,Sydney
3810,Sydney
3811,Sydney
3812,Sydney
3813,Sydney
3814,Melbourne
3815,Brisbane
3816,Sydney
3817,Sydney
3818,Perth
3819,Sydney
3820,Brisbane
3821,Sydney
3822,Brisbane
3823,Brisbane
3824,Brisbane
3825,Sydney
3826,Sydney
3827,Sydney
3828,Perth
3829,Melbourne
3830,Sydney
3831,Perth
3832,Perth
3833,Sydney
3834,Melbourne
3835,Melbourne
3836,Melbourne
3837,Sydney
3838,Sydney
3839,Brisbane
3840,Sydney
3841,Perth
3842,Sydney
3843,Sydney
3844,Sydney
3845,Sydney
3846,Brisbane
3847,Sydney
3848,Sydney
3849,Brisbane
3850,Sydney
3851,Sydney
3852,Sydney
3853,Melbourne
3854,Sydney
3855,Brisbane
3856,Sydney
3857,Sydney
3858,Sydney
3859,Melbourne
3860,Sydney
3861,Melbourne
3862,Melbourne
3863,Sydney
3864,Sydney
3865,Perth
3866,Perth
3867,Melbourne
3868,Brisbane
3869,Sydney
3870,Melbourne
3871,Sydney
3872,Brisbane
3873,Melbourne
3874,Sydney
3875,Sydney
3876,Sydney
3877,Perth
3878,Sydney
3879,Melbourne
3880,Perth
3881,Sydney
3882,Sydney
3883,Sydney
3884,Sydney
3885,Brisbane
3886,Sydney
3887,Brisbane
3888,Brisbane
3889,Sydney
3890,Sydney
3891,Perth
3892,Melbourne
3893,Sydney
3894,Sydney
3895,Sydney
3896,Melbourne
3897,Melbourne
3898,Melbourne
3899,Sydney
3900,Sydney
3901,Perth
3902,Sydney
3903,Sydney
3904,Sydney
3905,Sydney
3906,Perth
3907,Melbourne
3908,Perth
3909,Sydney
3910,Melbourne
3911,Perth
3912,Brisbane
3913,Sydney
3914,Melbourne
3915,Sydney
3916,Sydney
3917,Sydney
3918,Sydney
3919,Sydney
3920,Sydney
3921,Sydney
3922,Brisbane
3923,Perth
3924,Melbourne
3925,Melbourne
3926,Sydney
3927,Sydney
3928,Sydney
3929,Sydney
3930,Perth
3931,Sydney
3932,Sydney
3933,Sydney
3934,Sydney
3935,Sydney
3936,Sydney
3937,Sydney
3938,Sydney
3939,Perth
3940,Brisbane
3941,Sydney
3942,Sydney
3943,Sydney
3944,Brisbane
3945,Sydney
3946,Sydney
3947,Brisbane
3948,Sydney
3949,Sydney
3950,Melbourne
3951,Sydney
3952,Brisbane
3953,Sydney
3954,Sydney
3955,Melbourne
3956,Sydney
3957,Brisbane
3958,Brisbane
3959,Melbourne
3960,Sydney
3961,Brisbane
3962,Sydney
3963,Brisbane
3964,Melbourne
3965,Sydney
3966,Brisbane
3967,Brisbane
3968,Sydney
3969,Sydney
3970,Brisbane
3971,Melbourne
3972,Sydney
3973,Melbourne
3974,Sydney
3975,Brisbane
3976,Sydney
3977,Sydney
3978,Brisbane
3979,Melbourne
3980,Sydney
3981,Melbourne
3982,Sydney
3983,Sydney
3984,Brisbane
3985,Sydney
3986,Sydney
3987,Sydney
3988,Sydney
3989,Brisbane
3990,Sydney
3991,Brisbane
3992,Perth
3993,Sydney
3994,Sydney
3995,Perth
3996,Sydney
3997,Sydney
3998,Sydney
3999,Perth
31000,Sydney
31001,Perth
31002,Perth
31003,Sydney
31004,Sydney
31005,Perth
31006,Brisbane
31007,Sydney
31008,Brisbane
31009,Sydney
31010,Melbourne
31011,Perth
31012,Melbourne
31013,Sydney
31014,Brisbane
31015,Brisbane
31016,Perth
31017,Brisbane
31018,Sydney
31019,Sydney
31020,Melbourne
31021,Sydney
31022,Melbourne
31023,Melbourne
31024,Sydney
31025,Brisbane
31026,Sydney
31027,Brisbane
31028,Brisbane
31029,Sydney
31030,Sydney
31031,Brisbane
31032,Melbourne
31033,Sydney
31034,Perth
31035,Sydney
31036,Sydney
31037,Sydney
31038,Sydney
31039,Melbourne
31040,Brisbane
31041,Melbourne
31042,Sydney
31043,Brisbane
31044,Sydney
31045,Sydney
31046,Sydney
31047,Sydney
31048,Sydney
31049,Perth
31050,Sydney
31051,Sydney
31052,Sydney
31053,Sydney
31054,Sydney
31055,Melbourne
31056,Melbourne
31057,Perth
31058,Sydney
31059,Sydney
31060,Melbourne
31061,Melbourne
31062,Sydney
31063,Sydney
31064,Sydney
31065,Perth
31066,Brisbane
31067,Sydney
31068,Brisbane
31069,Sydney
31070,Brisbane
31071,Sydney
31072,Sydney
31073,Sydney
31074,Melbourne
31075,Sydney
31076,Melbourne
31077,Sydney
31078,Sydney
31079,Perth
31080,Sydney
31081,Perth
31082,Brisbane
31083,Melbourne
31084,Brisbane
31085,Sydney
31086,Brisbane
31087,Sydney
31088,Melbourne
31089,Melbourne
31090,Sydney
31091,Melbourne
31092,Perth
31093,Brisbane
31094,Sydney
31095,Sydney
31096,Brisbane
31097,Melbourne
31098,Melbourne
31099,Melbourne
31100,Sydney
31101,Sydney
31102,Perth
31103,Melbourne
31104,Sydney
31105,Sydney
31106,Melbourne
31107,Sydney
31108,Sydney
31109,Sydney
31110,Brisbane
31111,Sydney
31112,Sydney
31113,Melbourne
31114,Sydney
31115,Sydney
31116,Sydney
31117,Sydney
31118,Perth
31119,Sydney
31120,Brisbane
31121,Sydney
31122,Sydney
31123,Melbourne
31124,Perth
31125,Sydney
31126,Brisbane
31127,Melbourne
31128,Sydney
31129,Perth
31130,Brisbane
31131,Sydney
31132,Sydney
31133,Brisbane
31134,Brisbane
31135,Melbourne
31136,Melbourne
31137,Sydney
31138,Sydney
31139,Brisbane
31140,Sydney
31141,Sydney
31142,Sydney
31143,Sydney
31144,Brisbane
31145,Perth
31146,Sydney
31147,Sydney
31148,Melbourne
31149,Sydney
31150,Melbourne
31151,Sydney
31152,Sydney
31153,Sydney
31154,Brisbane
31155,Perth
31156,Perth
31157,Sydney
31158,Sydney
31159,Sydney
31160,Sydney
31161,Sydney
31162,Sydney
31163,Sydney
31164,Perth
31165,Sydney
31166,Sydney
31167,Sydney
31168,Brisbane
31169,Brisbane
31170,Sydney
31171,Brisbane
31172,Sydney
31173,Brisbane
31174,Brisbane
31175,Sydney
31176,Sydney
31177,Sydney
31178,Sydney
31179,Sydney
31180,Sydney
31181,Brisbane
31182,Sydney
31183,Sydney
31184,Sydney
31185,Brisbane
31186,Melbourne
31187,Brisbane
31188,Sydney
31189,Sydney
31190,Brisbane
31191,Brisbane
31192,Perth
31193,Sydney
31194,Sydney
31195,Sydney
31196,Sydney
31197,Sydney
31198,Melbourne
31199,Sydney
31200,Melbourne
31201,Sydney
31202,Sydney
31203,Sydney
31204,Melbourne
31205,Sydney
31206,Brisbane
31207,Sydney
31208,Sydney
31209,Sydney
31210,Sydney
31211,Brisbane
31212,Sydney
31213,Sydney
31214,Perth
31215,Sydney
31216,Brisbane
31217,Melbourne
31218,Melbourne
31219,Melbourne
31220,Sydney
31221,Sydney
31222,Brisbane
31223,Melbourne
31224,Perth
31225,Melbourne
31226,Sydney
31227,Sydney
31228,Melbourne
31229,Sydney
31230,Sydney
31231,Sydney
31232,Brisbane
31233,Sydney
31234,Melbourne
31235,Melbourne
31236,Sydney
31237,Sydney
31238,Sydney
31239,Sydney
31240,Brisbane
31241,Sydney
31242,Brisbane
31243,Sydney
31244,Brisbane
31245,Brisbane
31246,Sydney
31247,Melbourne
31248,Brisbane
31249,Melbourne
31250,Perth
31251,Sydney
31252,Sydney
31253,Brisbane
31254,Brisbane
31255,Sydney
31256,Perth
31257,Sydney
31258,Perth
31259,Sydney
31260,Melbourne
31261,Brisbane
31262,Sydney
31263,Melbourne
31264,Melbourne
31265,Sydney
31266,Sydney
31267,Melbourne
31268,Sydney
31269,Melbourne
31270,Perth
31271,Perth
31272,Brisbane
31273,Perth
31274,Brisbane
31275,Brisbane
31276,Perth
31277,Sydney
31278,Sydney
31279,Sydney
31280,Perth
31281,Melbourne
31282,Brisbane
31283,Sydney
31284,Sydney
31285,Brisbane
31286,Sydney
31287,Sydney
31288,Perth
31289,Perth
31290,Melbourne
31291,Brisbane
31292,Perth
31293,Sydney
31294,Sydney
31295,Brisbane
31296,Brisbane
31297,Sydney
31298,Sydney
31299,Melbourne
31300,Perth
31301,Sydney
31302,Brisbane
31303,Brisbane
31304,Sydney
31305,Sydney
31306,Sydney
31307,Sydney
31308,Sydney
31309,Sydney
31310,Sydney
31311,Sydney
31312,Sydney
31313,Perth
31314,Brisbane
31315,Melbourne
31316,Sydney
31317,Brisbane
31318,Melbourne
31319,Sydney
31320,Sydney
31321,Sydney
31322,Melbourne
31323,Brisbane
31324,Brisbane
31325,Sydney
31326,Sydney
31327,Brisbane
31328,Sydney
31329,Sydney
31330,Sydney
31331,Melbourne
31332,Melbourne
31333,Sydney
31334,Sydney
31335,Sydney
31336,Sydney
31337,Melbourne
31338,Sydney
31339,Sydney
31340,Sydney
31341,Brisbane
31342,Sydney
31343,Brisbane
31344,Sydney
31345,Sydney
31346,Sydney
31347,Sydney
31348,Sydney
31349,Sydney
31350,Sydney
31351,Sydney
31352,Sydney
31353,Sydney
31354,Sydney
31355,Melbourne
31356,Sydney
31357,Sydney
31358,Sydney
31359,Brisbane
31360,Sydney
31361,Perth
31362,Sydney
31363,Brisbane
31364,Perth
31365,Melbourne
31366,Sydney
31367,Brisbane
31368,Sydney
31369,Perth
31370,Sydney
31371,Melbourne
31372,Sydney
31373,Sydney
31374,Melbourne
31375,Perth
31376,Melbourne
31377,Perth
31378,Sydney
31379,Sydney
31380,Sydney
31381,Brisbane
31382,Sydney
31383,Sydney
31384,Sydney
31385,Sydney
31386,Brisbane
31387,Brisbane
31388,Perth
31389,Sydney
31390,Brisbane
31391,Sydney
31392,Sydney
31393,Sydney
31394,Sydney
31395,Sydney
31396,Melbourne
31397,Melbourne
31398,Sydney
31399,Brisbane
31400,Sydney
31401,Melbourne
31402,Sydney
31403,Sydney
31404,Perth
31405,Sydney
31406,Melbourne
31407,Perth
31408,Sydney
31409,Sydney
31410,Sydney
31411,Sydney
31412,Sydney
31413,Melbourne
31414,Brisbane
31415,Sydney
31416,Sydney
31417,Sydney
31418,Sydney
31419,Sydney
31420,Sydney
31421,Melbourne
31422,Sydney
31423,Perth
31424,Sydney
31425,Sydney
31426,Brisbane
31427,Sydney
31428,Sydney
31429,Sydney
31430,Sydney
31431,Melbourne
31432,Sydney
31433,Sydney
31434,Melbourne
31435,Sydney
31436,Sydney
31437,Brisbane
31438,Sydney
31439,Brisbane
31440,Melbourne
31441,Sydney
31442,Sydney
31443,Melbourne
31444,Perth
31445,Melbourne
31446,Sydney
31447,Sydney
31448,Sydney
31449,Sydney
31450,Brisbane
31451,Brisbane
31452,Melbourne
31453,Melbourne
31454,Sydney
31455,Melbourne
31456,Sydney
31457,Brisbane
31458,Sydney
31459,Sydney
31460,Sydney
31461,Sydney
31462,Melbourne
31463,Brisbane
31464,Sydney
31465,Sydney
31466,Sydney
31467,Melbourne
31468,Brisbane
31469,Perth
31470,Melbourne
31471,Sydney
31472,Sydney
31473,Sydney
31474,Sydney
31475,Sydney
31476,Sydney
31477,Brisbane
31478,Sydney
31479,Brisbane
31480,Melbourne
31481,Sydney
31482,Brisbane
31483,Sydney
31484,Sydney
31485,Sydney
31486,Sydney
31487,Sydney
31488,Sydney
31489,Melbourne
31490,Melbourne
31491,Perth
31492,Perth
31493,Melbourne
31494,Sydney
31495,Sydney
31496,Brisbane
31497,Sydney
31498,Melbourne
31499,Sydney
31500,Sydney
31501,Perth
31502,Brisbane
31503,Sydney
31504,Sydney
31505,Sydney
31506,Perth
31507,Sydney
31508,Melbourne
31509,Sydney
31510,Sydney
31511,Melbourne
31512,Sydney
31513,Brisbane
31514,Sydney
31515,Perth
31516,Sydney
31517,Brisbane
31518,Brisbane
31519,Sydney
31520,Sydney
31521,Sydney
31522,Brisbane
31523,Sydney
31524,Sydney
31525,Perth
31526,Sydney
31527,Perth
31528,Melbourne
31529,Sydney
31530,Perth
31531,Sydney
31532,Sydney
31533,Sydney
31534,Brisbane
31535,Brisbane
31536,Sydney
31537,Sydney
31538,Sydney
31539,Melbourne
31540,Melbourne
31541,Sydney
31542,Sydney
31543,Brisbane
31544,Sydney
31545,Melbourne
31546,Brisbane
31547,Sydney
31548,Sydney
31549,Sydney
31550,Melbourne
31551,Sydney
31552,Sydney
31553,Sydney
31554,Sydney
31555,Perth
31556,Melbourne
31557,Melbourne
31558,Brisbane
31559,Brisbane
31560,Melbourne
31561,Melbourne
31562,Melbourne
31563,Sydney
31564,Sydney
31565,Melbourne
31566,Sydney
31567,Sydney
31568,Brisbane
31569,Brisbane
31570,Sydney
31571,Sydney
31572,Sydney
31573,Perth
31574,Sydney
31575,Sydney
31576,Brisbane
31577,Perth
31578,Sydney
31579,Melbourne
31580,Melbourne
31581,Sydney
31582,Perth
31583,Melbourne
31584,Sydney
31585,Brisbane
31586,Perth
31587,Brisbane
31588,Brisbane
31589,Sydney
31590,Sydney
31591,Sydney
31592,Sydney
31593,Perth
31594,Brisbane
31595,Sydney
31596,Brisbane
31597,Sydney
31598,Sydney
31599,Sydney
31600,Sydney
31601,Sydney
31602,Sydney
31603,Melbourne
31604,Sydney
31605,Melbourne
31606,Sydney
31607,Brisbane
31608,Melbourne
31609,Sydney
31610,Melbourne
31611,Sydney
31612,Sydney
31613,Sydney
31614,Brisbane
31615,Sydney
31616,Melbourne
31617,Melbourne
31618,Sydney
31619,Sydney
31620,Sydney
31621,Melbourne
31622,Brisbane
31623,Melbourne
31624,Brisbane
31625,Sydney
31626,Brisbane
31627,Sydney
31628,Melbourne
31629,Sydney
31630,Sydney
31631,Melbourne
31632,Sydney
31633,Melbourne
31634,Perth
31635,Sydney
31636,Melbourne
31637,Sydney
31638,Perth
31639,Sydney
31640,Sydney
31641,Sydney
31642,Sydney
31643,Brisbane
31644,Sydney
31645,Sydney
31646,Sydney
31647,Melbourne
31648,Brisbane
31649,Brisbane
31650,Sydney
31651,Sydney
31652,Sydney
31653,Sydney
31654,Sydney
31655,Sydney
31656,Brisbane
31657,Sydney
31658,Sydney
31659,Sydney
31660,Melbourne
31661,Sydney
31662,Sydney
31663,Sydney
31664,Brisbane
31665,Sydney
31666,Sydney
31667,Sydney
31668,Melbourne
31669,Sydney
31670,Brisbane
31671,Perth
31672,Sydney
31673,Sydney
31674,Sydney
31675,Sydney
31676,Sydney
31677,Sydney
31678,Sydney
31679,Sydney
31680,Melbourne
31681,Sydney
31682,Melbourne
31683,Sydney
31684,Brisbane
31685,Sydney
31686,Melbourne
31687,Brisbane
31688,Perth
31689,Sydney
31690,Melbourne
31691,Melbourne
31692,Sydney
31693,Sydney
31694,Sydney
31695,Sydney
31696,Melbourne
31697,Perth
31698,Melbourne
31699,Melbourne
31700,Melbourne
31701,Sydney
31702,Sydney
31703,Brisbane
31704,Sydney
31705,Sydney
31706,Melbourne
31707,Perth
31708,Sydney
